Name,Target
durgesh,1
brijesh,1
sprash,1
punit,1
gurmit,1
gurpreet,1
siddhu,1
dharam,1
kejrival,1
pritam,1
devinder,1
raman,1
gajendra,1
atullah,1
hemlata,0
rihana,0
deepa,0
dipali,0
sabnam,0
anjum,0
utkarsh,1
mansi,0
baani,0
vaani,0
bansi,0
chintan,1
trusha,0
panth,1
avnish,1
jensi,0
rensi,0
rakshit,1
nensi,0
mansi,0
shubham,1
henil,1
kirti,0
vatsal,1
shrut,0
dhruvin,1
namrata,0
darshika,0
krunal,1
shreya,0
darshil,1
aarsh,1
abhik,1
romi,0
prutha,0
lipsa,0
dishank,0
vihana,0
nemil,1
krupali,0
dipen,1
preksha,0
naishar,1
shrey,1
jal,0
samir,1
keval,1
ravi,1
rakshita,0
shobha,0
shweta,0
riya,0
nia,0
shini,0
dhara,0
vrunda,0
yesha,0
trish,0
satish,1
sejal,0
gargi,0
fenil,1
mital,0
jalpa,0
hiren,1
nirali,0
apruva,1
sonu,1
purbi,0
shamil,1
amisha,0
urvisha,0
urvush,1
sweta,0
natasha,0
heetu,1
tanvi,0
naina,0
dhaval,1
vishruti,0
nadiya,0
astha,0
chaya,0
sakila,0
radha,0
neha,0
mira,0
swti,0
dhvani,0
minal,0
kashvi,0
maya,0
kaliksha,0
ishani,0
monik,1
twinkal,0
shruja,0
rupa,0
tarang,1
nikhil,1
daxit,1
army,1
surbhi,0
hetul,1
shreena,0
palav,0
shyam,1
divyesh,1
gopi,0
hardi,0
bhakti,0
man,1
metri,0
alka,0
juneb,0
romil,1
ankit,1
anandi,0
vrutika,0
dhrumin,1
muskan,0
rikesh,1
yagnik,1
yuvi,0
yuvaraj,1
manav,1
grishma,0
brinda,0
jaydeep,1
yug,1
pari,0
keyur,1
akash,1
vidhi,0
vidhisha,0
jimy,0
bhadresh,1
amiras,1
zenil,1
kanchan,0
sapana,0
feni,0
rajshree,0
swarupa,0
dipsa,0
cherish,1
rita,0
vaishali,0
himanshi,0
harihar,1
ruchit,1
noor,0
anmol,1
gaytri,0
shrushti,0
akshar,1
shivanya,0
unique,1
rujal,0
gulista,0
raghav,1
goral,0
jayraj,1
prashant,1
sanskar,1
femina,0
shayra,0
sandy,0
vrushal,1
bhavin,1
kamlesh,1
kinal,0
avira,0
karan,1
jogsingh,1
rinku,0
nirmla,0
kuldeep,1
sapan,1
bhaudeep,1
zarana,0
reema,0
mayur,1
danika,0
sillam,0
varun,1
harshid,1
risha,0
banasri,0
fiona,0
chitranjali,0
kriyesha,0
dravya,0
nagma,0
upena,0
varni,1
kruti,0
diaa,0
vandan,1
karishma,0
sunny,1
siyaahi,0
manpreet,1
hiari,0
binjal,0
yami,0
sindu,1
binny,0
srisa,0
ritika,0
niyati,0
barkha,0
chitra,0
meghana,0
mishti,0
vrushali,0
rushali,0
itee,0
hiti,0
brinza,0
nisha,0
mrunal,1
zeeya,0
misri,0
zeenat,0
darpan,1
koral,0
ankush,1
chakshu,0
tasarika,0
taanishka,0
kumud,0
trisha,0
margi,0
charu,0
charan,1
manas,1
kesha,0
diyara,0
kirthi,0
arman,1
masumi,0
purvam,1
naresh,1
radhey,1
shreyon,1
vinay,1
vineet,1
garima,0
vimal,1
shivaagna,0
tejaswini,0
lavnya,0
pal,0
tyani,0
sanchet,1
aftab,1
zarin,0
biren,1
vicky,1
karishmaashita,0
miloni,0
aruni,0
pranali,0
monali,0
yogi,1
sonam,0
akhtar,1
prapti,0
bhoomik,1
nirav,1
chirag,1
kundan,1
aditi,0
ajay,1
yusuf,1
irfan,1
yogesh,1
yashraj,1
arisfa,0
yagnesh,1
diva,0
haresh,1
nadim,1
imran,1
venish,1
salim,1
vraj,1
shaikh,1
vithal,1
vishrut,1
vishal,1
krushang,1
vrushang,1
viral,1
shrishti,0
bharti,0
chitra,0
lalita,0
vanita,0
rajni,0
dolly,0
poonam,0
dimpal,0
veera,0
ankita,0
masum,0
jeenat,0
soniya,0
namrta,0
ridhima,0
smita,0
parwati,0
prema,0
nandini,0
kanta,0
vinu,1
rizwan,1
vashant,1
vanshika,0
vallabh,1
swastik,1
shraddha,0
pragati,0
bhavana,0
valaji,1
sagar,1
nirbhay,1
greengal,0
vakil,1
tulsi,0
upendra,1
neela,0
umesh,1
umang,1
uka,1
samita,0
tushar,1
ishavar,1
isavar,1
krish,1
krisha,0
piyush,1
piyushi,0
tirth,1
tosif,1
tikmlal,1
thakarshi,1
shaurya,1
sanadhya,0
prahlad,1
saurabha,1
swetang,1
kanika,0
susil,1
shakti,1
sudhir,1
namita,0
rajan,1
sonanshu,1
raj,1
savaji,1
vaibhav,1
paresh,1
mithil,1
mehul,1
madhvi,0
kalpesh,1
pakhi,0
jagdish,1
gopal,1
dayalal,1
bhimji,1
bhavik,1
aravid,1
sima,0
shusila,1
shahid,1
savan,1
saumil,1
sarang,1
sandip,1
sanat,1
samir,1
jigna,0
rushik,1
rinkesh,1
mahesh,1
pragti,0
amit,1
ranchod,1
ranjan,1
randip,1
ramlal,1
jenil,1
puna,1
prabhu,1
pragat,1
prachi,0
praful ,1
popatlal,1
pinkesh,1
abdul,1
odha,1
jenish,1
nitesh,1
nita,0
niroj,1
nimesh,1
nilkanth,1
nikunj,1
nihal,1
nihar,1
neelay,1
nemish,1
neel,1
indra,0
manju,0
parul,0
tara,0
krishka,0
ilema,0
sahiba,0
chandni,0
bimla,0
maya,0
sarita,0
sukhbir,0
saveta,0
rani,0
kafia,0
minakshi,0
shabana,0
kinya,0
mumtaz,0
mohini,0
rupa,0
saroj,0
pushpa,0
imarana,0
kripya,0
chanchal,0
madhu,0
dhamishta,0
sonali,0
padma,0
jaya,0
sumitra,0
nathu,1
narsi,1
narayan,1
nanji,1
nagji,1
murili,1
bipin,1
ramji,1
miraj,1
mavji,1
manu,1
mansukh,1
manji,1
manhar,1
bhavin,1
lavaji,1
shubhas,1
labhu,1
kishor,1
kishan,1
kinjal,0
khushali,0
ashok,1
bhikha,1
kevin,1
keyur,1
ketan,1
hasmukh,1
kailash,0
kavita,0
karsan,1
sanjay,1
karan,1
kapli,1
kamal,1
kalpana,0
jivraj,1
jivan,1
jitu,1
jigar,1
nayan,1
jasvant,1
vandna,0
kiran,0
gauri,0
arti,0
neetu,0
nurbi,0
hemlata,0
hemal,0
aditya,0
janu,0
kajol,0
parvti,0
rajeshwari,0
shaifali,0
tanya,0
nilam,0
hetavi,0
bhavdeep,0
diana,0
sonam,0
sukhmani,0
kiaraa,0
alia,0
satpal,1
ram,1
parash,1
mustaq,1
bilal,1
jitendra,1
inder,1
shakib,1
divaraj,1
abhinav,1
vrajana,0
harshita,0
medha,0
bushraa,0
evaa,0
azruddin,1
mushir,1
avneet,0
chitranshi,0
govindh,1
govind,1
vasundhara,0
sakshi,0
ashi,0
anushka,0
moni,0
avatar,1
gaffar,1
deepak,1
lalit,1
brij,1
subhash,1
nishant,1
shekhar,1
hardeep,1
twarita,0
samreen,0
aayushi,0
neha,0
diksha,0
veerji,0
esha,0
kiara,0
sonal,0
mahira,0
sonalika,0
ragini,0
roopa,0
anup,1
aamir,1
aasif,1
abir,1
ali,1
anas,1
juhi,0
smriti,0
mouli,0
urvshi,0
jennifer,0
shilpa,0
aamna,0
anang,1
apurva,1
arhaan,1
arijit,1
arjit,1
arjun,1
arpit,1
barun,1
deven,1
rashami,0
sara,0
sukirti,0
madhurima,0
sanaya,0
sriti,0
hina,0
hiba,0
avika,0
mahima,0
runina,0
mugdha,0
dilip,1
gautam,1
gaurav,1
gurmeet,1
harsh,1
harshad,1
hiten,1
himanshu,1
jimit,1
karmveer,1
karanvir,1
kinshuk,1
sharda,0
kunal,1
giaa,0
adaa,0
pratyusha,0
rucha,0
yukti,0
nia,0
surbhi,0
gulki,0
shrenu,0
amrapali,0
toral,0
preetika,0
laksh,1
lavanya,1
leenesh,1
radhika,0
samiksha,0
sheen,0
erica,0
ashi,0
rhea,0
manav,1
mamik,1
mishal,1
iqbal,1
nazim,1
malik,1
nakuul,1
namik,1
namit,1
rishikaa,0
mayuri,0
nikki,0
param,1
paras,1
puneet,1
rahil,1
rajat,1
rajeev,1
randeep,1
ronit,1
mehtab,0
bibbo,0
devika,0
shobhna,0
jamuna,0
sitara,0
shanta,0
sadhana,0
nalini,0
meena,0
swaran,0
suraiya,0
asha,0
noor,0
sehban,1
siddhant,1
shah rukh,1
shantanu,1
shivaji,1
sumedh,1
varun,1
madhubala,0
uma,0
kamini,0
nimmi,0
shakila,0
shammi,0
bhanumati,0
nirupa,0
nutan,0
bina,0
nadira,0
vivian,1
zain,1
sushant,1
tiger,1
vir,1
hrithik,1
shahid,1
ranveer,1
taaha,1
ameeta,0
shyama,0
suchitra,0
minoo,0
mala,0
padmini,0
helen,0
nanda,0
saira,0
jayanthi,0
farhan,1
purab,1
harshvardhan,1
ayushman,1
fawad,1
bobby,1
gulshan,1
himeshreshammiya,1
ieshaan,1
jackky,1
hema,0
raakhee,0
yogeeta,0
reena,0
vidya,0
ranjeeta,0
deepti,0
sridevi,0
vijayta,0
rati,0
salma,0
meenakshi,0
neelam,0
urmila,0
kartik,1
mahakshay,1
omi,1
neil nitin,1
priyadarshan,1
pulkit,1
rajkummar,1
ritesh,1
saif ali khan,1
sammir,1
shiney,1
sooraj,1
suniel,1
bipasha,0
isha,0
keerthi,0
sandali,0
monica,0
tanishaa,0
meher,0
manjari,0
dakshita,0
eshan,1
meenu,0
jyostna,0
tamannaah,0
amol,1
sumeet,1
ishwak,1
aahana,0
yashaswini,0
aisha,0
maanvi,0
hansika,0
richa,0
sandeepa,0
parineeti,0
huma,0
iieana,0
amy,0
taapsee,0
lisa,0
athiya,0
mawara,0
ritika,0
janhvi,0
tripti,0
tara,0
mrunal,0
alaya,0
tejashri,0
arina,0
rajsi,0
anil,1
angira,0
bhuvan,1
chinmay,1
visshesh,1
deepesh,1
nimrat,0
kishwer,0
vrushika,0
mallika,0
sudev,1
gagandevÿ,1
mithila,0
tahir,1
alekh,1
raghu,1
raunak,1
nidhi,0
tridha,0
nehal,0
jinnie,0
shiny,0
supriya,0
iira,0
manvi,0
sanni,0
hansi,0
priyal,0
marina,0
veronica,0
tanima,0
gehana,0
neethu,0
nagma,0
flora,0
aarohi,0
kavya,0
anusmriti,0
mahi,0
aastha,0
prerika,0
pihu,0
prerna,0
raja,1
lokesh,1
chand,1
baljeet,1
dheeraj,1
chandan,1
laxman,1
jaidev,1
tarun,1
radhey,1
pradeep,1
nitish,1
aftab,1
vikramjeet,1
meena,0
ganga,0
madhuri,0
harprit,0
rubina,0
kamla,0
hysa,1
yhas,1
YASH,1
hyas,1
ahsy,1
iptr,1
trip,1
PRIT,1
rpti,1
prit,1
eetm,1
mete,1
emte,1
etme,1
etem,1
sidhrta,0
isdarht,0
hadrsit,0
ahdrits,0
tashrid,0
saloni,0
saloni,0
saloni,0
SALONI,0
sloina,0
HINAL,0
HINAL,0
lnhia,0
hnial,0
HINAL,0
JAY,1
JAY,1
jya,1
JAY,1
jya,1
drhnasaa,0
arnsadha,0
darshana,0
DARSHANA,0
dhsranaa,0
HARDIK,1
hardik,1
aihrkd,1
HARDIK,1
hkidar,1
janvi,0
JANVI,0
JANVI,0
JANVI,0
jianv,0
RONAK,1
rkaon,1
aonkr,1
RONAK,1
rnaok,1
aamnn,1
naman,1
amann,1
naman,1
naanm,1
hyaikt,0
KHYATI,0
tkiyha,0
akhtiy,0
khyati,0
sikha,0
sikha,0
SIKHA,0
hsaik,0
sikha,0
MINAL,0
inmal,0
malni,0
iamnl,0
MINAL,0
milan,1
nmali,1
milan,1
milna,1
milan,1
KAUSHIK,1
kaushik,1
kaushik,1
hsukika,1
KAUSHIK,1
smit,1
tims,1
SMIT,1
simt,1
smit,1
vanrai,0
raniva,0
ravina,0
ravina,0
anrvai,0
ptrii,0
priti,0
priti,0
iirtp,0
PRITI,0
atlhe,0
etalh,0
HETAL,0
tealh,0
laeth,0
pooja,0
aojpo,0
POOJA,0
oojpa,0
oajop,0
KISHAN,1
KISHAN,1
skniah,1
hinksa,1
hkiasn,1
aakhrs,1
srakah,1
arkash,1
akshar,1
AKSHAR,1
akshay,1
ksahya,1
akshay,1
skhaay,1
aksyah,1
ardahki,0
RADHIKA,0
radhika,0
RADHIKA,0
ahadirk,0
riya,0
RIYA,0
riya,0
riya,0
riya,0
lkmao,0
okmal,0
komal,0
amkol,0
KOMAL,0
MIHIR,1
mihir,1
mihir,1
mihir,1
iihmr,1
KUNJAL,1
kunjal,1
kajlnu,1
KUNJAL,1
uljank,1
milxo,1
MOXIL,1
MOXIL,1
MOXIL,1
MOXIL,1
aonm,0
oamn,0
mona,0
MONA,0
mano,0
vybaah,1
BHAVYA,1
BHAVYA,1
BHAVYA,1
ahvyba,1
bhavika,0
aaibhkv,0
akivabh,0
BHAVIKA,0
BHAVIKA,0
rina,0
rina,0
airn,0
RINA,0
nair,0
HETAVI,0
HETAVI,0
hvitae,0
hetavi,0
HETAVI,0
MANOJ,1
anmoj,1
omnaj,1
omajn,1
manoj,1
vrhgaa,1
raghav,1
raghav,1
vrahga,1
raghav,1
GOPAL,1
gopal,1
GOPAL,1
goapl,1
poagl,1
aminjs,1
mnijsa,1
JASMIN,1
aimsnj,1
jminas,1
ashkya,1
akshay,1
ayksah,1
AKSHAY,1
AKSHAY,1
weast,0
twsea,0
wtesa,0
eawts,0
sweta,0
vidhi,0
vidhi,0
VIDHI,0
iivhd,0
ividh,0
nanay,1
nnaay,1
nayan,1
NAYAN,1
naany,1
PRASHANT,1
tansprah,1
prashant,1
aphnrats,1
PRASHANT,1
sonal,0
oslna,0
SONAL,0
asonl,0
SONAL,0
BHAVIKA,0
abihkav,0
bhavika,0
bhavika,0
BHAVIKA,0
hbviak,1
bhavik,1
bvakhi,1
BHAVIK,1
BHAVIK,1
thaamnn,1
manthan,1
MANTHAN,1
ahamtnn,1
tmnanha,1
eretp,1
ertpe,1
rptee,1
PREET,1
PREET,1
itapdr,1
darpit,1
DARPIT,1
pradit,1
rtidpa,1
hrhas,1
shhar,1
hsahr,1
hashr,1
rsahh,1
akahsyp,1
yakahps,1
kashyap,1
ykaphsa,1
KASHYAP,1
utbahki,1
aibhutk,1
bhautik,1
bkhuati,1
hubtkia,1
DHRUV,1
vhdur,1
udhvr,1
DHRUV,1
DHRUV,1
ishva,0
aihvs,0
ISHVA,0
ishva,0
ISHVA,0
mhites,1
mitesh,1
eitshm,1
hesmit,1
eshtim,1
esdhin,1
DENISH,1
siehdn,1
DENISH,1
denish,1
abhi,1
ABHI,1
ABHI,1
abhi,1
baih,1
sienjh,1
hjnsei,1
jenish,1
JENISH,1
jenish,1
jenny,0
enyjn,0
njeyn,0
ynjne,0
ynjne,0
diuhvr,0
DHRUVI,0
dhruvi,0
DHRUVI,0
dhruvi,0
margi,0
gamri,0
irmga,0
rimag,0
mairg,0
jkaal,0
aklaj,0
KAJAL,0
aaljk,0
kjlaa,0
MITAL,0
mlati,0
litma,0
MITAL,0
tlmai,0
neilv,1
nievl,1
inlev,1
ivlne,1
nevli,1
krishna,1
kshnrai,1
krishna,1
rhsnkia,1
KRISHNA,1
KRISHNA,0
KRISHNA,0
krishna,0
ariskhn,0
krishna,0
aindhv,0
DHAVNI,0
avnidh,0
dhavni,0
DHAVNI,0
HEMANSHI,0
nemihhas,0
HEMANSHI,0
HEMANSHI,0
HEMANSHI,0
shania,1
hinaas,1
ISHAAN,1
hniasa,1
ISHAAN,1
ahysl,0
lhyas,0
shyla,0
SHYLA,0
shyla,0
rmaa,1
arma,1
amar,1
rama,1
rama,1
diya,0
diya,0
diya,0
iady,0
diay,0
iydva,0
adviy,0
DIVYA,0
divya,0
idyva,0
ANANYA,0
ANANYA,0
ananay,0
ayaann,0
nyanaa,0
JAYA,0
JAYA,0
jaya,0
yaja,0
ajay,0
sana,0
nasa,0
sana,0
sana,0
ansa,0
anjali,0
ainlaj,0
anjali,0
ajalni,0
anjali,0
itdia,0
aditi,0
taiid,0
idait,0
iadti,0
iihlkn,1
NIKHIL,1
hklini,1
NIKHIL,1
hilikn,1
naahs,1
anash,1
nasha,1
SHAAN,1
shaan,1
liash,1
SAHIL,1
SAHIL,1
lsahi,1
lhias,1
DARSH,1
DARSH,1
darsh,1
darsh,1
DARSH,1
hasinw,1
hanwis,1
ASHWIN,1
awnhis,1
ashwin,1
vened,1
evend,1
DEVEN,1
vedne,1
evned,1
shaila,0
shaila,0
aiahls,0
shaila,0
SHAILA,0
SALINA,0
SALINA,0
ilanas,0
niaasl,0
sianal,0
varun,1
varun,1
varun,1
VARUN,1
varun,1
devi,0
veid,0
DEVI,0
edvi,0
iedv,0
draah,0
dhara,0
dhara,0
DHARA,0
aahrd,0
hlikhsea,1
akhilesh,1
akhilesh,1
kselhiah,1
AKHILESH,1
uslni,1
iulsn,1
SUNIL,1
sunil,1
SUNIL,1
RAJIV,1
rjvia,1
jiavr,1
airjv,1
rijva,1
abuhn,1
huban,1
BHANU,1
abuhn,1
habnu,1
ABHISHEK,1
ahbkihes,1
hkhaibse,1
eksbihah,1
ABHISHEK,1
ubhaianmy,1
yanbuamih,1
uinybahma,1
ABHIMANYU,1
abhimanyu,1
abhiman,1
aihmnab,1
ABHIMAN,1
abhiman,1
nmihbaa,1
trbaah,1
aabhrt,1
bharat,1
BHARAT,1
BHARAT,1
ail,0
ial,0
ail,0
ila,0
lai,0
ahmsian,0
hamians,0
MANISHA,0
MANISHA,0
manisha,0
harshvi,0
HARSHVI,0
hsirvha,0
harshvi,0
harshvi,0
harshav,1
sahhavr,1
HARSHAV,1
harshav,1
harshav,1
ANSHU,0
ANSHU,0
hnasu,0
shanu,0
anshu,0
anisth,0
ihastn,0
SHANTI,0
tahnis,0
shanti,0
hanshika,0
khsiaanh,0
HANSHIKA,0
khnasaih,0
HANSHIKA,0
akaalm,0
aamakl,0
kamala,0
mlaaka,0
kaamla,0
anuradha,0
anuradha,0
rdaaunah,0
hadurnaa,0
anuradha,0
dev,1
evd,1
dev,1
dev,1
ved,1
nevarded,1
devendra,1
devendra,1
enrddave,1
devendra,1
avinash,1
haisnav,1
vnhaasi,1
AVINASH,1
aavsnih,1
hdsraa,0
darsha,0
darsha,0
darsha,0
DARSHA,0
JANAK,1
ajkan,1
aknaj,1
knaja,1
JANAK,1
chandani,0
ncanihda,0
CHANDANI,0
chandani,0
nnhicada,0
naomh,1
MOHAN,1
mohan,1
manoh,1
monah,1
iamxl,0
LAXMI,0
limax,0
xailm,0
axmli,0
leale,0
LEELA,0
LEELA,0
LEELA,0
lleae,0
ABHAY,1
ybaah,1
ahbay,1
abhay,1
bhyaa,1
kalo,1
aolk,1
okla,1
alok,1
loak,1
lnahisi,0
shalini,0
shalini,0
ilahins,0
shalini,0
SHIVANI,0
SHIVANI,0
shivani,0
hasviin,0
iivanhs,0
MANSI,0
MANSI,0
MANSI,0
MANSI,0
MANSI,0
mazida,0
MAZIDA,0
adiazm,0
mazida,0
adiamz,0
neaem,0
aemen,0
MEENA,0
MEENA,0
ameen,0
inha,0
hnai,0
hina,0
HINA,0
hina,0
natia,0
natai,0
taian,0
ainat,0
naati,0
aaalrbj,1
ajlabar,1
laaajrb,1
bajlara,1
balaraj,1
rsdaha,1
hrsdaa,1
hsadra,1
sharad,1
shaadr,1
AMIT,1
itam,1
AMIT,1
iamt,1
AMIT,1
asnyaj,1
SANJAY,1
sanyaj,1
SANJAY,1
ayjsna,1
VIKRAM,1
viarkm,1
rkivma,1
kairvm,1
VIKRAM,1
 rrkmauam,1
 rakuammr,1
karmru ma,1
ram kumar,1
murmka ra,1
ROHIT,1
ROHIT,1
ihtro,1
oihtr,1
hitro,1
SANTOSH,1
nsthoas,1
SANTOSH,1
oshasnt,1
thssnoa,1
isha,0
saih,0
shia,0
shai,0
isha,0
oamsn,0
mosna,0
SONAM,0
osamn,0
SONAM,0
ahsis hk,0
SHAKSHI ,0
shakshi ,0
SHAKSHI ,0
SHAKSHI ,0
gsaar,1
SAGAR,1
agsra,1
sagar,1
aasrg,1
NEETU,0
teune,0
eeutn,0
neetu,0
NEETU,0
PRATHAMESH,1
prathamesh,1
prathamesh,1
pahsehratm,1
PRATHAMESH,1
anjasan,0
sanjana,0
sanjana,0
nsajaan,0
annaajs,0
sneha,0
aehns,0
eansh,0
sneha,0
anshe,0
hsanle,0
ealshn,0
nalesh,0
ahnsle,0
alhesn,0
ksnyatua,0
synkutaa,0
nsukatya,0
yaukasnt,0
ukyatsna,0
omtih,1
iohtm,1
MOHIT,1
hmtio,1
MOHIT,1
rohan,1
ahnor,1
anrho,1
rahon,1
arohn,1
rehan,1
rehan,1
REHAN,1
rehan,1
rehan,1
ihvakisa,0
VAISHAKI,0
vaishaki,0
vaishaki,0
ivaihaks,0
KANIKA,0
kanika,0
KANIKA,0
KANIKA,0
akknai,0
kareena,0
KAREENA,0
KAREENA,0
nrkaeae,0
aeekrna,0
anirkta,0
niatark,0
katrina,0
KATRINA,0
knariat,0
slnama,1
SALMAN,1
msalna,1
aslnma,1
lnasma,1
ahiibtj,1
ABHIJIT,1
ABHIJIT,1
ABHIJIT,1
ajhtibi,1
DAYA,0
DAYA,0
yada,0
daay,0
yaad,0
llajteha,1
jethalal,1
JETHALAL,1
allhetaj,1
alejltha,1
abbait,0
babita,0
taabbi,0
babita,0
ababit,0
yrie,1
iyer,1
irye,1
riey,1
eyir,1
vyaij,1
VIJAY,1
vijay,1
iyjva,1
vijay,1
ROSHAN,1
ohasrn,1
rhnosa,1
hornsa,1
ROSHAN,1
erean,0
anere,0
reena,0
raeen,0
eearn,0
neha,0
anhe,0
ehna,0
NEHA,0
neha,0
pjnaairl,0
iarjapnl,0
aijalrnp,0
pranjali,0
naiarjlp,0
rushabh,1
aushhbr,1
RUSHABH,1
rubhash,1
ursabhh,1
HRUTIK,1
HRUTIK,1
HRUTIK,1
urthik,1
riktuh,1
khushboo,0
khushboo,0
khushboo,0
KHUSHBOO,0
ohsubhko,0
KHUSHI,0
KHUSHI,0
KHUSHI,0
KHUSHI,0
KHUSHI,0
jtyoi,0
jyoti,0
JYOTI,0
ytijo,0
tyoji,0
khera,0
rekha,0
rekha,0
REKHA,0
rekha,0
atni,0
TINA,0
aitn,0
anti,0
tina,0
VARSHA,0
varsha,0
VARSHA,0
VARSHA,0
VARSHA,0
rivanp,1
iranpv,1
narpvi,1
ivnarp,1
pniarv,1
